latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.062,-62.142,340.4,1.4,1.2,10/19/2018,305,T,100,6.0NRT,292.9,69,N
-18.064,-62.155,341.7,1.4,1.2,10/19/2018,305,T,100,6.0NRT,295.5,72.4,N
-18.067,-62.168,309.8,1.4,1.2,10/19/2018,305,T,78,6.0NRT,294.8,10.6,N
-17.852,-61.169,308.9,1.7,1.3,10/19/2018,305,T,75,6.0NRT,293.5,12.4,N
-17.334,-58.394,308.3,2.7,1.6,10/19/2018,305,T,74,6.0NRT,288.4,31,N
-17.32,-58.397,319.5,2.7,1.6,10/19/2018,305,T,99,6.0NRT,288.3,68.6,N
-17.826,-61.222,314.7,1.6,1.3,10/19/2018,305,T,89,6.0NRT,292.4,22,N
-17.829,-61.237,317.1,1.6,1.3,10/19/2018,305,T,94,6.0NRT,291,26.2,N
-18.185,-63.4,304,1.2,1.1,10/19/2018,305,T,58,6.0NRT,292.1,5.5,N
-17.317,-58.403,311.1,2.7,1.6,10/19/2018,305,T,82,6.0NRT,288.4,39.1,N
-17.585,-60.367,322.2,1.9,1.4,10/19/2018,305,T,100,6.0NRT,291.5,45.7,N
-17.663,-60.882,311.7,1.8,1.3,10/19/2018,305,T,82,6.0NRT,290,20.4,N
-17.666,-60.898,327.9,1.7,1.3,10/19/2018,305,T,100,6.0NRT,290.9,55.2,N
-17.677,-61.095,305,1.7,1.3,10/19/2018,305,T,59,6.0NRT,292,8.1,N
-17.679,-61.111,321.5,1.7,1.3,10/19/2018,305,T,100,6.0NRT,292.8,36.2,N
-17.68,-61.101,317.3,1.7,1.3,10/19/2018,305,T,94,6.0NRT,292.8,27.7,N
-17.682,-61.117,314,1.7,1.3,10/19/2018,305,T,88,6.0NRT,292.9,21.7,N
-17.674,-61.135,310.7,1.7,1.3,10/19/2018,305,T,79,6.0NRT,291.7,16.4,N
-17.937,-62.746,305.1,1.3,1.1,10/19/2018,305,T,63,6.0NRT,278.2,9.5,N
-17.962,-62.965,305.3,1.3,1.1,10/19/2018,305,T,64,6.0NRT,294.5,6.2,N
-17.525,-60.404,305.2,1.9,1.3,10/19/2018,305,T,58,6.0NRT,288.8,12.3,N
-17.528,-60.421,307.2,1.9,1.3,10/19/2018,305,T,69,6.0NRT,287.2,16.1,N
-17.516,-60.497,311.1,1.9,1.3,10/19/2018,305,T,80,6.0NRT,291.1,20.9,N
-17.494,-60.614,306.7,1.8,1.3,10/19/2018,305,T,67,6.0NRT,292.6,11.3,N
-17.547,-61,306.6,1.7,1.3,10/19/2018,305,T,67,6.0NRT,288.9,12.5,N
-17.55,-61.016,311.5,1.7,1.3,10/19/2018,305,T,82,6.0NRT,290.6,20,N
-17.464,-60.795,308.5,1.8,1.3,10/19/2018,305,T,73,6.0NRT,292.4,11.3,N
-17.531,-61.183,309.2,1.7,1.3,10/19/2018,305,T,75,6.0NRT,290.9,15.2,N
-17.534,-61.199,305.4,1.7,1.3,10/19/2018,305,T,61,6.0NRT,291.9,9.4,N
-17.449,-60.781,337.8,1.8,1.3,10/19/2018,305,T,100,6.0NRT,294,85,N
-17.452,-60.798,373.2,1.8,1.3,10/19/2018,305,T,100,6.0NRT,294.8,290.2,N
-17.455,-60.814,313.4,1.8,1.3,10/19/2018,305,T,86,6.0NRT,292.8,18.8,N
-17.422,-60.699,317.1,1.8,1.3,10/19/2018,305,T,94,6.0NRT,293.6,27.8,N
-17.425,-60.716,308.4,1.8,1.3,10/19/2018,305,T,72,6.0NRT,293.4,11.1,N
-17.455,-60.786,350,1.8,1.3,10/19/2018,305,T,100,6.0NRT,294.7,137.7,N
-17.458,-60.803,347.1,1.8,1.3,10/19/2018,305,T,100,6.0NRT,293.1,122.7,N
-17.429,-60.704,314.3,1.8,1.3,10/19/2018,305,T,89,6.0NRT,293.6,22.5,N
-17.443,-60.789,317.6,1.8,1.3,10/19/2018,305,T,95,6.0NRT,293.6,27.8,N
-17.417,-60.707,306.7,1.8,1.3,10/19/2018,305,T,68,6.0NRT,293.4,9.6,N
-17.639,-62.043,306.2,1.5,1.2,10/19/2018,305,T,65,6.0NRT,294,7.5,N
-17.642,-62.056,311.6,1.5,1.2,10/19/2018,305,T,82,6.0NRT,294.5,13.8,N
-17.393,-60.711,317.5,1.8,1.3,10/19/2018,305,T,95,6.0NRT,293.8,28.9,N
-17.379,-60.696,315.5,1.8,1.3,10/19/2018,305,T,91,6.0NRT,293.5,24.6,N
-17.382,-60.713,347.3,1.8,1.3,10/19/2018,305,T,100,6.0NRT,294,128.1,N
-17.355,-60.701,332.5,1.8,1.3,10/19/2018,305,T,100,6.0NRT,294.1,70.7,N
-17.358,-60.718,307,1.8,1.3,10/19/2018,305,T,69,6.0NRT,293.2,10.2,N
-17.505,-61.706,323,1.5,1.2,10/19/2018,305,T,100,6.0NRT,289.8,35.4,N
-17.508,-61.72,302.3,1.5,1.2,10/19/2018,305,T,27,6.0NRT,289.6,4.8,N
-17.502,-61.698,306.2,1.5,1.2,10/19/2018,305,T,65,6.0NRT,290.5,9.9,N
-17.505,-61.712,317.8,1.5,1.2,10/19/2018,305,T,95,6.0NRT,289.5,26.5,N
-17.177,-60.309,303.3,2,1.4,10/19/2018,305,T,55,6.0NRT,291.2,8.8,N
-17.617,-63.051,301.2,1.3,1.1,10/19/2018,305,T,27,6.0NRT,282.8,5.7,N
-17.191,-61.353,310.8,1.7,1.3,10/19/2018,305,T,80,6.0NRT,284.6,18.8,N
-17.209,-61.666,330.8,1.6,1.2,10/19/2018,305,T,100,6.0NRT,290,53,N
-17.212,-61.68,332.9,1.6,1.2,10/19/2018,305,T,100,6.0NRT,290.5,58.5,N
-17.214,-61.695,322.4,1.6,1.2,10/19/2018,305,T,100,6.0NRT,287.6,34.6,N
-17.2,-61.682,334.5,1.6,1.2,10/19/2018,305,T,100,6.0NRT,287.7,63.7,N
-17.203,-61.697,305.7,1.6,1.2,10/19/2018,305,T,64,6.0NRT,285,9.1,N
-17.161,-61.72,331.5,1.6,1.2,10/19/2018,305,T,100,6.0NRT,289.9,55.2,N
-17.164,-61.734,317.5,1.6,1.2,10/19/2018,305,T,95,6.0NRT,289.4,25.2,N
-16.935,-60.723,304.7,1.9,1.3,10/19/2018,305,T,61,6.0NRT,288.6,11.1,N
-17.39,-64.088,304.1,1.1,1.1,10/19/2018,305,T,58,6.0NRT,293.3,4.9,N
-16.663,-59.77,305.3,2.2,1.4,10/19/2018,305,T,64,6.0NRT,288,16.6,N
-17,-62.409,326.3,1.4,1.2,10/19/2018,305,T,100,6.0NRT,280.5,40.4,N
-16.989,-62.411,304.7,1.4,1.2,10/19/2018,305,T,61,6.0NRT,282.1,9.6,N
-17.063,-63.365,305.2,1.2,1.1,10/19/2018,305,T,63,6.0NRT,292.4,6.9,N
-16.339,-60.169,310,2.1,1.4,10/19/2018,305,T,79,6.0NRT,283.2,27.5,N
-16.326,-60.171,313.9,2.1,1.4,10/19/2018,305,T,88,6.0NRT,284.9,35.5,N
-16.331,-60.27,319.8,2.1,1.4,10/19/2018,305,T,89,6.0NRT,283.2,45.6,N
-16.335,-60.289,328,2.1,1.4,10/19/2018,305,T,100,6.0NRT,284.1,71.2,N
-16.339,-60.175,309.4,2.1,1.4,10/19/2018,305,T,77,6.0NRT,284.1,25.2,N
-16.326,-60.177,310.7,2.1,1.4,10/19/2018,305,T,75,6.0NRT,285.1,26.8,N
-16.343,-60.274,309.5,2.1,1.4,10/19/2018,305,T,77,6.0NRT,283.4,24.4,N
-16.33,-60.276,323.5,2.1,1.4,10/19/2018,305,T,100,6.0NRT,283.7,56.4,N
-16.334,-60.295,322,2.1,1.4,10/19/2018,305,T,100,6.0NRT,283.9,52,N
-16.321,-60.297,313.8,2.1,1.4,10/19/2018,305,T,30,6.0NRT,284,29.6,N
-16.324,-60.316,338.7,2,1.4,10/19/2018,305,T,100,6.0NRT,284.7,114.5,N
-16.309,-60.3,310.3,2.1,1.4,10/19/2018,305,T,50,6.0NRT,283.5,24.9,N
-16.671,-62.653,324.9,1.4,1.2,10/19/2018,305,T,100,6.0NRT,286.6,35.7,N
-16.372,-61.135,361.3,1.8,1.3,10/19/2018,305,T,100,6.0NRT,282.2,207.2,N
-16.375,-61.152,355,1.8,1.3,10/19/2018,305,T,100,6.0NRT,283.2,168.8,N
-16.36,-61.137,336.2,1.8,1.3,10/19/2018,305,T,100,6.0NRT,279.9,85.8,N
-16.363,-61.154,322,1.8,1.3,10/19/2018,305,T,100,6.0NRT,281.1,44.3,N
-16.329,-61.496,303.3,1.7,1.3,10/19/2018,305,T,54,6.0NRT,280.2,10.8,N
-16.331,-61.511,303.3,1.7,1.3,10/19/2018,305,T,54,6.0NRT,278.7,10.6,N
-16.329,-61.638,302,1.6,1.3,10/19/2018,305,T,46,6.0NRT,284.4,7.7,N
-16.332,-61.654,302.5,1.6,1.3,10/19/2018,305,T,50,6.0NRT,284.5,7.8,N
-16.472,-62.5,306,1.4,1.2,10/19/2018,305,T,66,6.0NRT,288.9,8.9,N
-16.156,-61.372,300.7,1.7,1.3,10/19/2018,305,T,23,6.0NRT,277.9,8.8,N
-16.219,-62.442,302.3,1.4,1.2,10/19/2018,305,T,48,6.0NRT,289.1,6.4,N
-16.221,-62.455,321,1.4,1.2,10/19/2018,305,T,100,6.0NRT,289.5,30.9,N
-16.209,-62.444,303.8,1.4,1.2,10/19/2018,305,T,57,6.0NRT,288.8,7.6,N
-16.211,-62.457,318.3,1.4,1.2,10/19/2018,305,T,97,6.0NRT,289,26.1,N
-16.435,-63.993,308.3,1.2,1.1,10/19/2018,305,T,74,6.0NRT,293.4,8.1,N
-16.179,-62.463,306.8,1.4,1.2,10/19/2018,305,T,69,6.0NRT,288.7,11.1,N
-16.168,-62.465,334.8,1.4,1.2,10/19/2018,305,T,100,6.0NRT,289.8,58.9,N
-16.17,-62.478,312.6,1.4,1.2,10/19/2018,305,T,85,6.0NRT,287.5,17.5,N
-16.162,-62.458,311.4,1.4,1.2,10/19/2018,305,T,82,6.0NRT,288.2,16.1,N
-16.165,-62.471,320.5,1.4,1.2,10/19/2018,305,T,100,6.0NRT,288.1,29.5,N
-15.959,-62.043,322.3,1.6,1.2,10/19/2018,305,T,100,6.0NRT,283.8,37.2,N
-15.961,-62.057,304.7,1.6,1.2,10/19/2018,305,T,61,6.0NRT,282.5,10.1,N
-15.947,-62.044,308.2,1.6,1.2,10/19/2018,305,T,74,6.0NRT,282.5,14.8,N
-16.088,-62.905,305.7,1.4,1.2,10/19/2018,305,T,65,6.0NRT,290.4,7.9,N
-16.09,-62.918,302.6,1.4,1.2,10/19/2018,305,T,50,6.0NRT,290.6,5.2,N
-16.156,-63.332,317.5,1.3,1.1,10/19/2018,305,T,95,6.0NRT,292.8,19.5,N
-16.039,-63.173,319.4,1.3,1.1,10/19/2018,305,T,98,6.0NRT,289.5,24,N
-16.041,-63.186,304.8,1.3,1.1,10/19/2018,305,T,61,6.0NRT,289.9,7.2,N
-15.768,-61.73,350.7,1.6,1.3,10/19/2018,305,T,100,6.0NRT,278.3,132.2,N
-15.771,-61.746,340.7,1.6,1.3,10/19/2018,305,T,100,6.0NRT,277.4,92.2,N
-15.768,-61.721,306.8,1.7,1.3,10/19/2018,305,T,69,6.0NRT,277.9,14.2,N
-15.77,-61.736,348.1,1.6,1.3,10/19/2018,305,T,100,6.0NRT,278.5,121.2,N
-15.773,-61.752,312,1.6,1.3,10/19/2018,305,T,84,6.0NRT,276.9,21.6,N
-15.759,-61.738,300.9,1.6,1.3,10/19/2018,305,T,10,6.0NRT,278,7.4,N
-15.72,-61.714,303.4,1.7,1.3,10/19/2018,305,T,55,6.0NRT,279.3,11.7,N
-15.722,-61.729,310.3,1.7,1.3,10/19/2018,305,T,80,6.0NRT,279.1,20.4,N
