latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-10.689,-73.97,311.0,1.3,1.1,10/19/2018,1825,A,54,6.0NRT,294.2,7.3,D,0,2018-10-19,300.685,71,969.04,300.685,300.685
-10.482999999999999,-75.618,325.3,1.6,1.3,10/19/2018,1825,A,82,6.0NRT,291.2,41.2,D,1,2018-10-19,288.86,100,808.46,288.86,288.86
-10.459000000000001,-75.609,313.3,1.6,1.3,10/19/2018,1825,A,50,6.0NRT,296.4,15.9,D,0,2018-10-19,288.86,100,808.46,288.86,288.86
-10.46,-75.62100000000001,330.2,1.6,1.3,10/19/2018,1825,A,86,6.0NRT,295.2,53.6,D,1,2018-10-19,288.86,100,808.46,288.86,288.86
-9.264,-74.206,326.2,1.3,1.1,10/19/2018,1825,A,82,6.0NRT,296.3,26.2,D,1,2018-10-19,297.335,89,991.98,297.335,297.335
-9.174,-73.69,319.4,1.2,1.1,10/19/2018,1825,A,74,6.0NRT,296.4,15.5,D,1,2018-10-19,297.81,90,992.87,297.81,297.81
-9.175,-73.70100000000001,313.3,1.2,1.1,10/19/2018,1825,A,56,6.0NRT,295.6,8.5,D,0,2018-10-19,297.81,90,992.87,297.81,297.81
-7.452000000000001,-63.131,312.1,3.1,1.7,10/19/2018,1825,A,62,6.0NRT,285.3,26.7,D,0,2018-10-19,302.085,79,1008.19,302.085,302.085
-9.073,-73.764,323.0,1.2,1.1,10/19/2018,1825,A,78,6.0NRT,296.2,19.0,D,1,2018-10-19,297.81,90,992.87,297.81,297.81
-9.074,-73.775,316.2,1.2,1.1,10/19/2018,1825,A,70,6.0NRT,296.5,10.7,D,1,2018-10-19,297.81,90,992.87,297.81,297.81
-7.452999999999999,-63.138999999999996,318.8,3.1,1.7,10/19/2018,1825,A,73,6.0NRT,285.6,57.0,D,1,2018-10-19,302.085,79,1008.19,302.085,302.085
-9.138,-75.14699999999999,312.7,1.4,1.2,10/19/2018,1825,A,64,6.0NRT,293.2,10.4,D,0,2018-10-19,297.335,83,982.34,297.335,297.335
-8.98,-74.663,337.4,1.3,1.1,10/19/2018,1825,A,89,6.0NRT,296.8,48.5,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
-8.981,-74.675,321.7,1.3,1.1,10/19/2018,1825,A,77,6.0NRT,295.9,17.6,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
